label,mean,sd,standard_error,lower,minimum_effect,assessable,pass
nominal_delta_B,0.11822916666666668,0.030840704133218953,0.006896191091583631,0.1014476979590812,0.05,True,True
nominal_delta_legal_repeat,0.8791666666666667,0.05040044323577496,0.011269881717131227,0.8517420833187599,0.2,True,True
shift_delta_B,0.19375,0.018324858487761678,0.00409756292566991,0.18377882560803557,0.05,True,True
shift_delta_legal_repeat,0.8791666666666667,0.05040044323577496,0.011269881717131227,0.8517420833187599,0.2,True,True
