root_seed,regime,control,contexts,witnesses
16,COMMON_BIAS,channel0,4,0
16,COMMON_BIAS,median,4,0
16,COMMON_BIAS,channel2,4,0
17,NOMINAL,channel0,4,4
17,NOMINAL,median,4,0
17,NOMINAL,channel2,4,0
17,PHYSICAL_SHIFT,channel0,4,4
17,PHYSICAL_SHIFT,median,4,0
17,PHYSICAL_SHIFT,channel2,4,0
17,COMMON_BIAS,channel0,4,4
17,COMMON_BIAS,median,4,2
17,COMMON_BIAS,channel2,4,2
18,NOMINAL,channel0,4,4
18,NOMINAL,median,4,0
18,NOMINAL,channel2,4,0
18,PHYSICAL_SHIFT,channel0,4,4
18,PHYSICAL_SHIFT,median,4,0
18,PHYSICAL_SHIFT,channel2,4,0
18,COMMON_BIAS,channel0,4,4
18,COMMON_BIAS,median,4,2
18,COMMON_BIAS,channel2,4,2
19,NOMINAL,channel0,4,2
19,NOMINAL,median,4,0
19,NOMINAL,channel2,4,0
19,PHYSICAL_SHIFT,channel0,4,2
19,PHYSICAL_SHIFT,median,4,0
19,PHYSICAL_SHIFT,channel2,4,0
19,COMMON_BIAS,channel0,4,2
19,COMMON_BIAS,median,4,1
19,COMMON_BIAS,channel2,4,1
20,NOMINAL,channel0,4,0
20,NOMINAL,median,4,0
20,NOMINAL,channel2,4,0
20,PHYSICAL_SHIFT,channel0,4,0
20,PHYSICAL_SHIFT,median,4,0
20,PHYSICAL_SHIFT,channel2,4,0
20,COMMON_BIAS,channel0,4,0
20,COMMON_BIAS,median,4,0
20,COMMON_BIAS,channel2,4,0
21,NOMINAL,channel0,4,2
21,NOMINAL,median,4,0
21,NOMINAL,channel2,4,0
21,PHYSICAL_SHIFT,channel0,4,2
21,PHYSICAL_SHIFT,median,4,0
21,PHYSICAL_SHIFT,channel2,4,0
21,COMMON_BIAS,channel0,4,2
21,COMMON_BIAS,median,4,1
21,COMMON_BIAS,channel2,4,1
22,NOMINAL,channel0,4,0
22,NOMINAL,median,4,0
22,NOMINAL,channel2,4,0
22,PHYSICAL_SHIFT,channel0,4,1
22,PHYSICAL_SHIFT,median,4,0
22,PHYSICAL_SHIFT,channel2,4,0
22,COMMON_BIAS,channel0,4,0
22,COMMON_BIAS,median,4,0
22,COMMON_BIAS,channel2,4,0
23,NOMINAL,channel0,4,0
23,NOMINAL,median,4,0
23,NOMINAL,channel2,4,0
23,PHYSICAL_SHIFT,channel0,4,0
23,PHYSICAL_SHIFT,median,4,0
23,PHYSICAL_SHIFT,channel2,4,0
23,COMMON_BIAS,channel0,4,0
23,COMMON_BIAS,median,4,0
23,COMMON_BIAS,channel2,4,0
24,NOMINAL,channel0,4,0
24,NOMINAL,median,4,0
24,NOMINAL,channel2,4,0
24,PHYSICAL_SHIFT,channel0,4,1
24,PHYSICAL_SHIFT,median,4,0
24,PHYSICAL_SHIFT,channel2,4,0
24,COMMON_BIAS,channel0,4,0
24,COMMON_BIAS,median,4,0
24,COMMON_BIAS,channel2,4,0
25,NOMINAL,channel0,4,2
25,NOMINAL,median,4,0
25,NOMINAL,channel2,4,0
25,PHYSICAL_SHIFT,channel0,4,2
25,PHYSICAL_SHIFT,median,4,0
25,PHYSICAL_SHIFT,channel2,4,0
25,COMMON_BIAS,channel0,4,2
25,COMMON_BIAS,median,4,0
25,COMMON_BIAS,channel2,4,0
26,NOMINAL,channel0,4,4
26,NOMINAL,median,4,0
26,NOMINAL,channel2,4,0
26,PHYSICAL_SHIFT,channel0,4,4
26,PHYSICAL_SHIFT,median,4,0
26,PHYSICAL_SHIFT,channel2,4,0
26,COMMON_BIAS,channel0,4,4
26,COMMON_BIAS,median,4,2
26,COMMON_BIAS,channel2,4,2
27,NOMINAL,channel0,4,2
27,NOMINAL,median,4,0
27,NOMINAL,channel2,4,0
27,PHYSICAL_SHIFT,channel0,4,2
27,PHYSICAL_SHIFT,median,4,0
27,PHYSICAL_SHIFT,channel2,4,0
27,COMMON_BIAS,channel0,4,2
27,COMMON_BIAS,median,4,1
27,COMMON_BIAS,channel2,4,1
28,NOMINAL,channel0,4,0
28,NOMINAL,median,4,0
28,NOMINAL,channel2,4,0
28,PHYSICAL_SHIFT,channel0,4,0
28,PHYSICAL_SHIFT,median,4,0
28,PHYSICAL_SHIFT,channel2,4,0
28,COMMON_BIAS,channel0,4,0
28,COMMON_BIAS,median,4,0
28,COMMON_BIAS,channel2,4,0
29,NOMINAL,channel0,4,4
29,NOMINAL,median,4,0
29,NOMINAL,channel2,4,0
29,PHYSICAL_SHIFT,channel0,4,4
29,PHYSICAL_SHIFT,median,4,0
29,PHYSICAL_SHIFT,channel2,4,0
29,COMMON_BIAS,channel0,4,4
29,COMMON_BIAS,median,4,2
29,COMMON_BIAS,channel2,4,2
30,NOMINAL,channel0,4,0
30,NOMINAL,median,4,0
30,NOMINAL,channel2,4,0
30,PHYSICAL_SHIFT,channel0,4,0
30,PHYSICAL_SHIFT,median,4,0
30,PHYSICAL_SHIFT,channel2,4,0
30,COMMON_BIAS,channel0,4,0
30,COMMON_BIAS,median,4,0
30,COMMON_BIAS,channel2,4,0
31,NOMINAL,channel0,4,4
31,NOMINAL,median,4,0
31,NOMINAL,channel2,4,0
31,PHYSICAL_SHIFT,channel0,4,4
31,PHYSICAL_SHIFT,median,4,0
31,PHYSICAL_SHIFT,channel2,4,0
31,COMMON_BIAS,channel0,4,4
31,COMMON_BIAS,median,4,2
31,COMMON_BIAS,channel2,4,2
32,NOMINAL,channel0,4,2
32,NOMINAL,median,4,0
32,NOMINAL,channel2,4,0
32,PHYSICAL_SHIFT,channel0,4,2
32,PHYSICAL_SHIFT,median,4,0
32,PHYSICAL_SHIFT,channel2,4,0
32,COMMON_BIAS,channel0,4,2
32,COMMON_BIAS,median,4,1
32,COMMON_BIAS,channel2,4,1
33,NOMINAL,channel0,4,0
33,NOMINAL,median,4,0
33,NOMINAL,channel2,4,0
33,PHYSICAL_SHIFT,channel0,4,0
33,PHYSICAL_SHIFT,median,4,0
33,PHYSICAL_SHIFT,channel2,4,0
33,COMMON_BIAS,channel0,4,0
33,COMMON_BIAS,median,4,0
33,COMMON_BIAS,channel2,4,0
34,NOMINAL,channel0,4,2
34,NOMINAL,median,4,0
34,NOMINAL,channel2,4,0
34,PHYSICAL_SHIFT,channel0,4,2
34,PHYSICAL_SHIFT,median,4,0
34,PHYSICAL_SHIFT,channel2,4,0
34,COMMON_BIAS,channel0,4,2
34,COMMON_BIAS,median,4,1
34,COMMON_BIAS,channel2,4,1
35,NOMINAL,channel0,4,4
35,NOMINAL,median,4,0
35,NOMINAL,channel2,4,0
35,PHYSICAL_SHIFT,channel0,4,4
35,PHYSICAL_SHIFT,median,4,0
35,PHYSICAL_SHIFT,channel2,4,0
35,COMMON_BIAS,channel0,4,4
35,COMMON_BIAS,median,4,2
35,COMMON_BIAS,channel2,4,2
36,NOMINAL,channel0,4,0
36,NOMINAL,median,4,0
36,NOMINAL,channel2,4,0
36,PHYSICAL_SHIFT,channel0,4,1
36,PHYSICAL_SHIFT,median,4,0
36,PHYSICAL_SHIFT,channel2,4,0
36,COMMON_BIAS,channel0,4,0
36,COMMON_BIAS,median,4,0
36,COMMON_BIAS,channel2,4,0
37,NOMINAL,channel0,4,0
37,NOMINAL,median,4,0
37,NOMINAL,channel2,4,0
37,PHYSICAL_SHIFT,channel0,4,1
37,PHYSICAL_SHIFT,median,4,0
37,PHYSICAL_SHIFT,channel2,4,0
37,COMMON_BIAS,channel0,4,0
37,COMMON_BIAS,median,4,0
37,COMMON_BIAS,channel2,4,0
38,NOMINAL,channel0,4,0
38,NOMINAL,median,4,0
38,NOMINAL,channel2,4,0
38,PHYSICAL_SHIFT,channel0,4,0
38,PHYSICAL_SHIFT,median,4,0
38,PHYSICAL_SHIFT,channel2,4,0
38,COMMON_BIAS,channel0,4,0
38,COMMON_BIAS,median,4,0
38,COMMON_BIAS,channel2,4,0
39,NOMINAL,channel0,4,4
39,NOMINAL,median,4,0
39,NOMINAL,channel2,4,0
39,PHYSICAL_SHIFT,channel0,4,4
39,PHYSICAL_SHIFT,median,4,0
39,PHYSICAL_SHIFT,channel2,4,0
39,COMMON_BIAS,channel0,4,4
39,COMMON_BIAS,median,4,2
39,COMMON_BIAS,channel2,4,2
40,NOMINAL,channel0,4,0
40,NOMINAL,median,4,0
40,NOMINAL,channel2,4,0
40,PHYSICAL_SHIFT,channel0,4,1
40,PHYSICAL_SHIFT,median,4,0
40,PHYSICAL_SHIFT,channel2,4,0
40,COMMON_BIAS,channel0,4,0
40,COMMON_BIAS,median,4,0
40,COMMON_BIAS,channel2,4,0
