control,V,regime,K,action,count,total
channel0,0,PHYSICAL_SHIFT,4,3,15,240
channel0,0,PHYSICAL_SHIFT,4,5,9,240
channel0,0,PHYSICAL_SHIFT,4,7,8,240
channel0,0,PHYSICAL_SHIFT,4,9,14,240
channel0,0,PHYSICAL_SHIFT,4,11,5,240
channel0,0,PHYSICAL_SHIFT,4,13,7,240
channel0,0,PHYSICAL_SHIFT,4,15,7,240
channel0,0,PHYSICAL_SHIFT,4,16,12,240
channel0,0,PHYSICAL_SHIFT,4,18,10,240
channel0,0,PHYSICAL_SHIFT,4,20,13,240
channel0,0,PHYSICAL_SHIFT,4,22,15,240
channel0,0,PHYSICAL_SHIFT,4,24,9,240
channel0,0,PHYSICAL_SHIFT,4,26,12,240
channel0,0,PHYSICAL_SHIFT,4,28,11,240
channel0,0,PHYSICAL_SHIFT,4,30,7,240
channel0,0,PHYSICAL_SHIFT,4,32,6,240
channel0,0,PHYSICAL_SHIFT,4,34,13,240
channel0,0,PHYSICAL_SHIFT,4,36,10,240
channel0,0,PHYSICAL_SHIFT,4,38,6,240
channel0,0,PHYSICAL_SHIFT,4,40,7,240
channel0,0,PHYSICAL_SHIFT,4,42,8,240
channel0,0,PHYSICAL_SHIFT,4,44,2,240
channel0,0,PHYSICAL_SHIFT,4,46,11,240
channel0,0,PHYSICAL_SHIFT,8,3,13,240
channel0,0,PHYSICAL_SHIFT,8,5,8,240
channel0,0,PHYSICAL_SHIFT,8,7,2,240
channel0,0,PHYSICAL_SHIFT,8,9,17,240
channel0,0,PHYSICAL_SHIFT,8,11,1,240
channel0,0,PHYSICAL_SHIFT,8,13,5,240
channel0,0,PHYSICAL_SHIFT,8,15,11,240
channel0,0,PHYSICAL_SHIFT,8,16,7,240
channel0,0,PHYSICAL_SHIFT,8,18,17,240
channel0,0,PHYSICAL_SHIFT,8,20,17,240
channel0,0,PHYSICAL_SHIFT,8,22,25,240
channel0,0,PHYSICAL_SHIFT,8,24,10,240
channel0,0,PHYSICAL_SHIFT,8,26,23,240
channel0,0,PHYSICAL_SHIFT,8,28,7,240
channel0,0,PHYSICAL_SHIFT,8,30,19,240
channel0,0,PHYSICAL_SHIFT,8,32,4,240
channel0,0,PHYSICAL_SHIFT,8,34,11,240
channel0,0,PHYSICAL_SHIFT,8,36,2,240
channel0,0,PHYSICAL_SHIFT,8,38,11,240
channel0,0,PHYSICAL_SHIFT,8,40,3,240
channel0,0,PHYSICAL_SHIFT,8,42,11,240
channel0,0,PHYSICAL_SHIFT,8,44,2,240
channel0,0,PHYSICAL_SHIFT,8,46,14,240
channel0,0,PHYSICAL_SHIFT,16,3,14,240
channel0,0,PHYSICAL_SHIFT,16,5,8,240
channel0,0,PHYSICAL_SHIFT,16,7,1,240
channel0,0,PHYSICAL_SHIFT,16,9,8,240
channel0,0,PHYSICAL_SHIFT,16,13,8,240
