regime,horizon,threshold,group_B_lower,group_B_upper,mean,sd,lower,upper,roots
NOMINAL,8,300,400,550,0.01953125,0.01818996411233114,0.0110180847431677,0.0280444152568323,20
NOMINAL,8,350,400,550,0.09921875,0.04339464470582444,0.07890943111620026,0.11952806888379973,20
NOMINAL,8,400,400,550,0.2359375,0.05504465143241248,0.21017581013326808,0.2616991898667319,20
NOMINAL,12,300,400,550,0.11822916666666668,0.03084070413321895,0.10379527282818585,0.1326630605051475,20
NOMINAL,12,350,400,550,0.21770833333333334,0.03461423265564587,0.20150837378332023,0.23390829288334644,20
NOMINAL,12,400,400,550,0.3234375,0.03740164367459542,0.30593299193650486,0.3409420080634951,20
NOMINAL,16,300,400,550,0.2109375,0.024312081412984347,0.19955909564866936,0.22231590435133064,20
NOMINAL,16,350,400,550,0.28828125,0.025960674491734403,0.2761312803374902,0.3004312196625098,20
NOMINAL,16,400,400,550,0.367578125,0.028051232755946565,0.35444974395237866,0.3807065060476213,20
NOMINAL,8,300,450,600,0.0,0.0,0.0,0.0,20
NOMINAL,8,350,450,600,0.01953125,0.01818996411233114,0.0110180847431677,0.0280444152568323,20
NOMINAL,8,400,450,600,0.09921875,0.04339464470582444,0.07890943111620026,0.11952806888379973,20
NOMINAL,12,300,450,600,0.043229166666666666,0.02489813861087912,0.03157647910373519,0.05488185422959814,20
NOMINAL,12,350,450,600,0.11822916666666668,0.03084070413321895,0.10379527282818585,0.1326630605051475,20
NOMINAL,12,400,450,600,0.21770833333333334,0.03461423265564587,0.20150837378332023,0.23390829288334644,20
NOMINAL,16,300,450,600,0.13359375,0.026572173161282048,0.12115759015063528,0.14602990984936476,20
NOMINAL,16,350,450,600,0.2109375,0.024312081412984347,0.19955909564866936,0.22231590435133064,20
NOMINAL,16,400,450,600,0.28828125,0.025960674491734403,0.2761312803374902,0.3004312196625098,20
NOMINAL,8,300,500,650,0.0,0.0,0.0,0.0,20
NOMINAL,8,350,500,650,0.0,0.0,0.0,0.0,20
NOMINAL,8,400,500,650,0.01953125,0.01818996411233114,0.0110180847431677,0.0280444152568323,20
NOMINAL,12,300,500,650,0.004166666666666667,0.006231698350167904,0.0012501420623248424,0.007083191271008491,20
NOMINAL,12,350,500,650,0.043229166666666666,0.02489813861087912,0.03157647910373519,0.05488185422959814,20
NOMINAL,12,400,500,650,0.11822916666666668,0.03084070413321895,0.10379527282818585,0.1326630605051475,20
NOMINAL,16,300,500,650,0.061328125,0.024348390291478908,0.04993272757045296,0.07272352242954704,20
NOMINAL,16,350,500,650,0.13359375,0.026572173161282048,0.12115759015063528,0.14602990984936476,20
NOMINAL,16,400,500,650,0.2109375,0.024312081412984347,0.19955909564866936,0.22231590435133064,20
PHYSICAL_SHIFT,8,300,400,550,0.05234375,0.021671397404425176,0.04220122380747776,0.06248627619252224,20
PHYSICAL_SHIFT,8,350,400,550,0.12734375,0.03053246963975616,0.1130541143450153,0.1416333856549847,20
PHYSICAL_SHIFT,8,400,400,550,0.2453125,0.04865058182429174,0.22254332682552036,0.2680816731744796,20
PHYSICAL_SHIFT,12,300,400,550,0.19479166666666667,0.01791513661357459,0.1864071246385328,0.20317620869480055,20
PHYSICAL_SHIFT,12,350,400,550,0.25156249999999997,0.020354979759837438,0.24203607623001017,0.26108892376998977,20
PHYSICAL_SHIFT,12,400,400,550,0.3302083333333333,0.03243372121619449,0.3150288845503469,0.34538778211631976,20
PHYSICAL_SHIFT,16,300,400,550,0.27109375,0.013436352460180944,0.2648053434788996,0.27738215652110043,20
PHYSICAL_SHIFT,16,350,400,550,0.313671875,0.015266234819878079,0.30652705717250767,0.3208166928274923,20
PHYSICAL_SHIFT,16,400,400,550,0.37265625,0.024325290912145865,0.36127166341276024,0.3840408365872398,20
PHYSICAL_SHIFT,8,300,450,600,0.009375,0.010633703865292507,0.0043982733974399215,0.014351726602560077,20
PHYSICAL_SHIFT,8,350,450,600,0.05234375,0.021671397404425176,0.04220122380747776,0.06248627619252224,20
PHYSICAL_SHIFT,8,400,450,600,0.12734375,0.03053246963975616,0.1130541143450153,0.1416333856549847,20
PHYSICAL_SHIFT,12,300,450,600,0.14010416666666667,0.018960502093032322,0.1312303785341725,0.14897795479916084,20
PHYSICAL_SHIFT,12,350,450,600,0.19479166666666667,0.01791513661357459,0.1864071246385328,0.20317620869480055,20
PHYSICAL_SHIFT,12,400,450,600,0.25156249999999997,0.020354979759837438,0.24203607623001017,0.26108892376998977,20
PHYSICAL_SHIFT,16,300,450,600,0.230078125,0.014220376569774242,0.22342278390062936,0.23673346609937063,20
PHYSICAL_SHIFT,16,350,450,600,0.27109375,0.013436352460180944,0.2648053434788996,0.27738215652110043,20
PHYSICAL_SHIFT,16,400,450,600,0.313671875,0.015266234819878079,0.30652705717250767,0.3208166928274923,20
PHYSICAL_SHIFT,8,300,500,650,0.0,0.0,0.0,0.0,20
PHYSICAL_SHIFT,8,350,500,650,0.009375,0.010633703865292507,0.0043982733974399215,0.014351726602560077,20
PHYSICAL_SHIFT,8,400,500,650,0.05234375,0.021671397404425176,0.04220122380747776,0.06248627619252224,20
PHYSICAL_SHIFT,12,300,500,650,0.0875,0.017032712763783906,0.07952844504613668,0.09547155495386331,20
PHYSICAL_SHIFT,12,350,500,650,0.14010416666666667,0.018960502093032322,0.1312303785341725,0.14897795479916084,20
PHYSICAL_SHIFT,12,400,500,650,0.19479166666666667,0.01791513661357459,0.1864071246385328,0.20317620869480055,20
PHYSICAL_SHIFT,16,300,500,650,0.190625,0.01277453457283793,0.1846463337846025,0.1966036662153975,20
PHYSICAL_SHIFT,16,350,500,650,0.230078125,0.014220376569774242,0.22342278390062936,0.23673346609937063,20
PHYSICAL_SHIFT,16,400,500,650,0.27109375,0.013436352460180944,0.2648053434788996,0.27738215652110043,20
