regime,metric,mean,sd,lower,upper,roots
NOMINAL,B,0.11822916666666668,0.03084070413321895,0.10379527282818585,0.1326630605051475,20
NOMINAL,legal_repeat_rate,0.6791666666666665,0.17370026950391007,0.5978724381398139,0.760460895193519,20
NOMINAL,L,-0.09516666666666666,0.029562600839930384,-0.1090023897509957,-0.08133094358233763,20
NOMINAL,P,-0.04138958333333333,0.01991283959046414,-0.05070907913439948,-0.03207008753226717,20
PHYSICAL_SHIFT,B,0.19375,0.018324858487761678,0.1851737022321212,0.2023262977678788,20
PHYSICAL_SHIFT,legal_repeat_rate,0.6916666666666665,0.16018081887929686,0.6166997357990157,0.7666335975343174,20
PHYSICAL_SHIFT,L,-0.1298333333333333,0.028576868738554702,-0.14320771959334794,-0.11645894707331866,20
PHYSICAL_SHIFT,P,-0.03809947916666667,0.021209869893530544,-0.048026003835131094,-0.02817295449820225,20
